,Species,Owner,Country_of_Origin,Region,Farm_Name,Altitude,Harvest.Year,Grading.Date,Grading_Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints,Moisture,Color,Expiration,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
224,Arabica,chris finch,Guatemala,CenterA,unknown,,2013,"July 16th, 2014",2014,,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,84.17,0.11,Bluish-Green,"July 16th, 2015",m,NA,NA,NA
225,Arabica,itochu corporation,Kenya,Africa,unknown,approx. 1'500 metres a.s.l.,2013,"November 7th, 2013",2013,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,84.17,0.08,Green,"November 7th, 2014",m,1,500,250.5
226,Arabica,owen carver,Brazil,SouthA,cafe do paraiso,894m - 1183m,2012,"May 20th, 2013",2013,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,84.17,0.11,Green,"May 20th, 2014",m,894,1183,1038.5
227,Arabica,juan luis alvarado romero,Guatemala,CenterA,la union monte verde,4300,2013,"May 9th, 2013",2013,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,84.17,0.11,Green,"May 9th, 2014",ft,1310.64,1310.64,1310.64
228,Arabica,atlantic specialty coffee,El Salvador,CenterA,el majahual,1500 meters,2013,"March 18th, 2013",2013,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,84.17,0.11,Bluish-Green,"March 18th, 2014",m,1500,1500,1500
229,Arabica,exportadora de cafe condor s.a,Colombia,SouthA,unknown,1750 msnm,2012,"October 19th, 2012",2012,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,84.17,0,Green,"October 19th, 2013",m,1750,1750,1750
230,Arabica,juan luis alvarado romero,Guatemala,CenterA,el limon,,2012,"March 26th, 2012",2012,Catuai,Natural / Dry,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,84.17,0.11,Bluish-Green,"March 26th, 2013",m,NA,NA,NA
231,Arabica,afca,Uganda,Africa,unknown,1500-1700m,2012,"February 13th, 2012",2012,Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,84.17,0.11,Green,"February 12th, 2013",m,1500,1700,1600
232,Arabica,pt.royal pacific indah international,Indonesia,Asia,"mus, eman",,2017,"May 24th, 2017",2017,Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,84.13,0.12,Bluish-Green,"May 24th, 2018",m,NA,NA,NA
233,Arabica,carcafe ltda ci,Colombia,SouthA,unknown,442,2017 / 2018,"November 9th, 2017",2017,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,84.08,0,Green,"November 9th, 2018",m,442,442,442
234,Arabica,"lin, che-hao krude",Taiwan,Asia,chang yu liang,968,2016,"May 18th, 2016",2016,Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,84.08,0.1,Bluish-Green,"May 18th, 2017",m,968,968,968
235,Arabica,juan luis alvarado romero,Guatemala,CenterA,la esperanza y anexos,,2016,"April 27th, 2016",2016,Bourbon,Washed / Wet,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,84.08,0.1,Green,"April 27th, 2017",m,NA,NA,NA
236,Arabica,racafe & cia s.c.a,Colombia,SouthA,unknown,de 1600 a 1950 msnm,2014,"November 5th, 2014",2014,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,84.08,0,,"November 5th, 2015",m,1600,1950,1775
237,Arabica,lusso lab,Guatemala,CenterA,aprocafi,1550,2014,"June 16th, 2014",2014,Bourbon,Washed / Wet,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,84.08,0.1,Bluish-Green,"June 16th, 2015",m,1550,1550,1550
238,Arabica,kona pacific farmers cooperative,United States (Hawaii),Pacific,unknown,,2012,"January 24th, 2013",2013,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,84.08,0.11,Green,"January 24th, 2014",ft,NA,NA,NA
239,Arabica,andres martinez leon,Mexico,CenterA,la lagunilla,1480,2012,"September 4th, 2012",2012,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,84.08,0.11,Green,"September 4th, 2013",m,1480,1480,1480
240,Arabica,steven kil,Ethiopia,Africa,unknown,1800m,2012,"August 17th, 2012",2012,Other,Natural / Dry,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,84.08,0.09,,"August 17th, 2013",m,1800,1800,1800
241,Arabica,amanda powers,Costa Rica,CenterA,unknown,,2017,"January 11th, 2018",2018,,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,84,0.08,None,"January 11th, 2019",m,NA,NA,NA
242,Arabica,kyagalanyi coffee ltd,Ethiopia,Africa,kerchanshe,1800,2017,"June 5th, 2017",2017,Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,84,0.11,Green,"June 5th, 2018",m,1800,1800,1800
243,Arabica,bismarck castro,Honduras,CenterA,las cuchillas,1500,2017,"May 11th, 2017",2017,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,84,0.1,Green,"May 11th, 2018",m,1500,1500,1500
244,Arabica,juan luis alvarado romero,Guatemala,CenterA,finca los cerros y anexos,5440 - 5760 metros,2015,"June 10th, 2015",2015,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,84,0.12,Green,"June 9th, 2016",ft,1658.112,1755.648,1706.88
245,Arabica,olam agro colombia,Colombia,SouthA,unknown,1600,2014/2015,"December 18th, 2014",2014,Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,84,0.11,Green,"December 18th, 2015",m,1600,1600,1600
246,Arabica,juan luis alvarado romero,Guatemala,CenterA,el papaturro,4000 psnm,2014,"August 8th, 2014",2014,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,84,0.1,Green,"August 8th, 2015",ft,1219.2,1219.2,1219.2
247,Arabica,juan luis alvarado romero,Guatemala,CenterA,el papaturro,4000 psnm,2014,"June 27th, 2014",2014,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,84,0.1,Green,"June 27th, 2015",ft,1219.2,1219.2,1219.2
248,Arabica,olam agro colombia,Colombia,SouthA,unknown,1480,2014,"May 27th, 2014",2014,,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,84,0.12,Green,"May 27th, 2015",m,1480,1480,1480
249,Arabica,compaia colombiana agroindustrial s.a,Colombia,SouthA,unknown,1450,2014,"May 27th, 2014",2014,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,84,0.12,Green,"May 27th, 2015",m,1450,1450,1450
250,Arabica,racafe & cia s.c.a,Colombia,SouthA,unknown,de 1600 a 1950 msnm,2014,"April 8th, 2014",2014,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,84,0.12,Green,"April 8th, 2015",m,1600,1950,1775
251,Arabica,lusso lab,Ethiopia,Africa,unknown,1550 m,2013,"January 17th, 2014",2014,Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,84,0.09,Green,"January 17th, 2015",m,1550,1550,1550
252,Arabica,ipanema coffees,Brazil,SouthA,fazenda rio verde,1260,2013/2014,"January 2nd, 2014",2014,Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,84,0.1,Green,"January 2nd, 2015",m,1260,1260,1260
253,Arabica,exportadora de cafe condor s.a,Colombia,SouthA,unknown,1700 msnm,2013,"June 21st, 2013",2013,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84,0.11,Green,"June 21st, 2014",m,1700,1700,1700
254,Arabica,ibero kenya limited,Kenya,Africa,unknown,above 1200 m,2012,"March 8th, 2013",2013,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,84,0,Green,"March 8th, 2014",m,1200,1200,1200
255,Arabica,doi tung development project,Thailand,Asia,doi tung development project,,2012,"June 21st, 2012",2012,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84,0.12,Green,"June 21st, 2013",m,NA,NA,NA
256,Arabica,taylor winch (coffee) ltd.,Kenya,Africa,unkonwn,1650,2012,"May 31st, 2012",2012,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,84,0,Bluish-Green,"May 31st, 2013",m,1650,1650,1650
257,Arabica,afca,Uganda,Africa,unknown,1700m,2012,"February 13th, 2012",2012,Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,84,0.1,Green,"February 12th, 2013",m,1700,1700,1700
258,Arabica,doi tung development project,Thailand,Asia,doi tung development project,,2011,"August 16th, 2011",2011,,,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,84,0.06,,"August 15th, 2012",m,NA,NA,NA
259,Arabica,ipanema coffees,Brazil,SouthA,fazenda capoeirnha,890,2017 / 2018,"October 20th, 2017",2017,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,83.92,0,Green,"October 20th, 2018",m,890,890,890
260,Arabica,cafes tomari sa de cv,Mexico,CenterA,cafetal,1300,2017,"July 3rd, 2017",2017,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,83.92,0.11,Green,"July 3rd, 2018",m,1300,1300,1300
261,Arabica,sarawut premjit,Thailand,Asia,saveg coffee farm,1350,2015,"October 18th, 2016",2016,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,83.92,0.1,Bluish-Green,"October 18th, 2017",m,1350,1350,1350
262,Arabica,ipanema coffees,Brazil,SouthA,capoeirinha,934,2016,"August 16th, 2016",2016,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92,0.11,Green,"August 16th, 2017",m,934,934,934
263,Arabica,"lin, che-hao krude",Taiwan,Asia,tsoustructive garden ,1200,2015,"May 18th, 2016",2016,Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,83.92,0.11,Green,"May 18th, 2017",m,1200,1200,1200
264,Arabica,carcafe ltda ci,Colombia,SouthA,unknown,442,2016,"February 11th, 2016",2016,,,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,83.92,0.11,Green,"February 10th, 2017",m,442,442,442
265,Arabica,almacafe,Colombia,SouthA,unknown,,2016,"January 21st, 2016",2016,,,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,83.92,0,,"January 20th, 2017",m,NA,NA,NA
266,Arabica,cqi taiwan icp cqi,Taiwan,Asia,very famous intl,,2014,"November 7th, 2015",2015,,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,83.92,0,Blue-Green,"November 6th, 2016",m,NA,NA,NA
267,Arabica,federacion nacional de cafeteros,Colombia,SouthA,unknown,,2015,"August 18th, 2015",2015,,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,83.92,0,,"August 17th, 2016",m,NA,NA,NA
268,Arabica,federacion nacional de cafeteros,Colombia,SouthA,unknown,,2014,"March 12th, 2015",2015,,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,83.92,0,None,"March 11th, 2016",m,NA,NA,NA
269,Arabica,racafe & cia s.c.a,Colombia,SouthA,unknown,de 1600 a 1950 msnm,2014,"December 12th, 2014",2014,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92,0,Green,"December 12th, 2015",m,1600,1950,1775
270,Arabica,cqi taiwan icp cqi,Taiwan,Asia,unknown,950�尺,2014,"November 23rd, 2014",2014,Typica,Washed / Wet,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,83.92,0.06,Green,"November 23rd, 2015",m,950,950,950
271,Arabica,compaia colombiana agroindustrial s.a,Colombia,SouthA,unknown,1550,2014,"January 17th, 2014",2014,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92,0.12,Green,"January 17th, 2015",m,1550,1550,1550
272,Arabica,oscar ortega carballo,Mexico,CenterA,finca cuetzalingo,900,2012,"July 3rd, 2012",2012,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,83.92,0.12,Blue-Green,"July 3rd, 2013",m,900,900,900
273,Arabica,alfredo bojalil,Mexico,CenterA,finca sant rosa,1500,2012,"June 6th, 2012",2012,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,83.92,0.11,,"June 6th, 2013",m,1500,1500,1500
274,Arabica,organizaciones de productores de cafe colimense,Mexico,CenterA,comunidad la yerbabuena,1400,2012,"April 2nd, 2012",2012,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,83.92,0,Green,"April 2nd, 2013",m,1400,1400,1400
275,Arabica,carcafe ltda ci,Colombia,SouthA,unknown,2527,2017,"June 30th, 2017",2017,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,83.83,0,Green,"June 30th, 2018",m,2527,2527,2527
276,Arabica,racafe & cia s.c.a,Colombia,SouthA,unknown,,2016,"March 14th, 2017",2017,Caturra,,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,83.83,0,Green,"March 14th, 2018",m,NA,NA,NA
277,Arabica,"ceca, s.a.",Costa Rica,CenterA,gamboa,1850,2015,"June 6th, 2016",2016,Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,83.83,0,Blue-Green,"June 6th, 2017",m,1850,1850,1850
278,Arabica,juan luis alvarado romero,Guatemala,CenterA,finca medina,1500,2016,"May 23rd, 2016",2016,Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,83.83,0.11,Green,"May 23rd, 2017",m,1500,1500,1500
279,Arabica,cqi taiwan icp cqi,Taiwan,Asia,yuyupas international corp.,1200,2016,"February 23rd, 2016",2016,,,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,7.75,83.83,0,,"February 22nd, 2017",m,1200,1200,1200
280,Arabica,ipanema coffees,Brazil,SouthA,rio verde,1,2015/2016,"October 8th, 2015",2015,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,83.83,0,Green,"October 7th, 2016",m,1,1,1
281,Arabica,"lin, che-hao krude",Taiwan,Asia, hometown coffee,480-570m,2014,"April 30th, 2015",2015,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,83.83,0,Green,"April 29th, 2016",m,480,570,525
282,Arabica,yasmin cofffee plantation plc,Ethiopia,Africa,unknown,1650-1703,2014,"March 31st, 2015",2015,,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,83.83,0.12,Green,"March 30th, 2016",m,1650,1703,1676.5
283,Arabica,ipanema coffees,Brazil,SouthA,rio verde,1200,2014/2015,"October 16th, 2014",2014,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,83.83,0,Green,"October 16th, 2015",m,1200,1200,1200
284,Arabica,eric thormaehlen,Costa Rica,CenterA,various,1200-1400,2013,"June 9th, 2014",2014,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,83.83,0.1,Green,"June 9th, 2015",m,1200,1400,1300
285,Arabica,juan luis alvarado romero,Guatemala,CenterA,el papaturro,4000 psnm,2014,"May 22nd, 2014",2014,Bourbon,Washed / Wet,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,83.83,0.1,Green,"May 22nd, 2015",ft,1219.2,1219.2,1219.2
286,Arabica,ipanema coffees,Brazil,SouthA,fazenda rio verde,1260,2013/2014,"December 26th, 2013",2013,Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,83.83,0.1,Green,"December 26th, 2014",m,1260,1260,1260
287,Arabica,garet alban,Ecuador,SouthA,finca el trueno,800 meters above sea level,2013,"October 4th, 2013",2013,,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,83.83,0.09,Bluish-Green,"October 4th, 2014",m,800,800,800
288,Arabica,exportadora de cafe condor s.a,Colombia,SouthA,unknown,1750 msnm,2013,"September 3rd, 2013",2013,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,83.83,0.11,Green,"September 3rd, 2014",m,1750,1750,1750
289,Arabica,juan luis alvarado romero,Guatemala,CenterA,finca el morito,4300,2013,"April 26th, 2013",2013,Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,83.83,0.11,Green,"April 26th, 2014",ft,1310.64,1310.64,1310.64
290,Arabica,filemon mendoza campos,Mexico,CenterA,predio canada del encino,1218,2012,"July 26th, 2012",2012,Bourbon,Natural / Dry,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,83.83,0.1,Green,"July 26th, 2013",m,1218,1218,1218
291,Arabica,alfredo bojalil,Mexico,CenterA,finca santa teresa,1300,2012,"June 6th, 2012",2012,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,83.83,0.11,,"June 6th, 2013",m,1300,1300,1300
292,Arabica,jacques pereira carneiro,Brazil,SouthA,fazenda do sertao,1.250 m,2011/2012,"December 21st, 2011",2011,Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,83.83,0.12,Green,"December 20th, 2012",m,1250,1250,1250
293,Arabica,doi chaang coffee company,Thailand,Asia,"doi chaang coffee original co.,ltd",4921ft,2011,"September 20th, 2011",2011,,,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,83.83,0.02,,"September 19th, 2012",ft,1499.9208,1499.9208,1499.9208
294,Arabica,doi tung development project,Thailand,Asia,doi tung development project,,2011,"August 16th, 2011",2011,,,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,83.83,0.01,,"August 15th, 2012",m,NA,NA,NA
295,Arabica,ethiopia commodity exchange,Ethiopia,Africa,"phone number | 0911-51-08-01, email | at",,2010,"June 17th, 2010",2010,,,7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5,83.83,0.1,,"June 17th, 2011",m,NA,NA,NA
296,Arabica,kennedy macharia,Kenya,Africa,unknown,1800,,"January 11th, 2018",2018,SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,83.75,0.11,Green,"January 11th, 2019",m,1800,1800,1800
297,Arabica,ipanema coffees,Brazil,SouthA,fazenda capoeirnha,890,2017 / 2018,"October 20th, 2017",2017,Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,83.75,0.11,Green,"October 20th, 2018",m,890,890,890
298,Arabica,carcafe ltda ci,Colombia,SouthA,unknown,442,2017,"September 28th, 2017",2017,Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,83.75,0.11,Green,"September 28th, 2018",m,442,442,442
299,Arabica,"lin, che-hao krude",Taiwan,Asia,kan tou mountain coffee,750,2016,"June 6th, 2017",2017,Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,83.75,0,Green,"June 6th, 2018",m,750,750,750
300,Arabica,racafe & cia s.c.a,Colombia,SouthA,unknown,,2016,"February 15th, 2017",2017,,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,83.75,0,Green,"February 15th, 2018",m,NA,NA,NA
301,Arabica,yunnan coffee exchange,China,Asia,puer specialty coffee cupping center,1650,2015,"April 6th, 2016",2016,Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,83.75,0.1,Green,"April 6th, 2017",m,1650,1650,1650
302,Arabica,carcafe ltda ci,Colombia,SouthA,unknown,442 msnm,2015/2016,"November 27th, 2015",2015,Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,83.75,0,Green,"November 26th, 2016",m,442,442,442
303,Arabica,nile highland arabica coffee farmers,Uganda,Africa,erussi farmers group,1400,2013,"June 30th, 2014",2014,Bourbon,Natural / Dry,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,83.75,0.12,Green,"June 30th, 2015",m,1400,1400,1400
304,Arabica,german negron,United States (Puerto Rico),CenterA,hacienda caracolillo,2800 ft,2013,"June 9th, 2014",2014,Other,Washed / Wet,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,83.75,0.12,Green,"June 9th, 2015",ft,853.44,853.44,853.44
305,Arabica,racafe & cia s.c.a,Colombia,SouthA,unknown,de 1600 a 1950 msnm,2014,"February 5th, 2014",2014,Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,83.75,0,Green,"February 5th, 2015",m,1600,1950,1775
306,Arabica,olam agro colombia,Colombia,SouthA,unknown,1500-1600,2014,"January 24th, 2014",2014,Other,Washed / Wet,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,83.75,0,Green,"January 24th, 2015",m,1500,1600,1550
307,Arabica,exportadora de cafe condor s.a,Colombia,SouthA,unknown,1750 msnm,2013,"November 22nd, 2013",2013,Caturra,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,83.75,0,Blue-Green,"November 22nd, 2014",m,1750,1750,1750
308,Arabica,exportadora de cafe condor s.a,Colombia,SouthA,unknown,1750,2013,"August 27th, 2013",2013,Caturra,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,83.75,0.11,Green,"August 27th, 2014",m,1750,1750,1750
309,Arabica,kona pacific farmers cooperative,United States (Hawaii),Pacific,unknown,,2013,"May 2nd, 2013",2013,Hawaiian Kona,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,83.75,0,Bluish-Green,"May 2nd, 2014",ft,NA,NA,NA
310,Arabica,saul m. hernandez ramirez,Mexico,CenterA,naranjal,700,2012,"September 27th, 2012",2012,Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,83.75,0.13,None,"September 27th, 2013",m,700,700,700
311,Arabica,the coffee source inc.,Guatemala,CenterA,several farms,1300 mts,2012,"May 24th, 2012",2012,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,83.75,0.11,Bluish-Green,"May 24th, 2013",m,1300,1300,1300
312,Arabica,carcafe ltda ci,Colombia,SouthA,unknown,1600 m.s.n.m,11-Jan,"April 20th, 2011",2011,,,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,83.75,0.1,,"April 19th, 2012",m,1600,1600,1600
313,Arabica,exportadora de cafe condor s.a,Colombia,SouthA,unknown,1600 msnm,4T/10,"February 9th, 2011",2011,,,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,83.75,0.06,,"February 9th, 2012",m,1600,1600,1600
314,Arabica,kona pacific farmers cooperative,United States (Hawaii),Pacific,unknown,,,"June 29th, 2010",2010,,,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,83.75,0,,"June 29th, 2011",ft,NA,NA,NA
315,Arabica,ipanema coffees,Brazil,SouthA,fazenda capoeirnha,890,2017 / 2018,"October 20th, 2017",2017,Bourbon,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,83.67,0.11,Green,"October 20th, 2018",m,890,890,890
316,Arabica,kennedy macharia,Kenya,Africa,unknown,1700,2017,"September 1st, 2017",2017,SL28,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,83.67,0.11,Bluish-Green,"September 1st, 2018",m,1700,1700,1700
317,Arabica,bismarck castro,Honduras,CenterA,los hicaques,1400,2016,"May 11th, 2017",2017,Caturra,Washed / Wet,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,83.67,0.1,Green,"May 11th, 2018",m,1400,1400,1400
318,Arabica,"comercial internacional exportadora, s.a.",Nicaragua,CenterA,santa matilde,1250,2016,"May 11th, 2017",2017,Caturra,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,83.67,0.1,Green,"May 11th, 2018",m,1250,1250,1250
319,Arabica,ipanema coffees,Brazil,SouthA,capoeirinha,934,2016,"August 16th, 2016",2016,Bourbon,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,83.67,0.11,Green,"August 16th, 2017",m,934,934,934
320,Arabica,"lin, che-hao krude",Taiwan,Asia,tsoustructive garden ,1200,2015,"May 18th, 2016",2016,Caturra,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,83.67,0.1,Bluish-Green,"May 18th, 2017",m,1200,1200,1200
321,Arabica,"ceca, s.a.",Costa Rica,CenterA,unknown,1350,,"March 14th, 2016",2016,,,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,83.67,0.11,Blue-Green,"March 14th, 2017",m,1350,1350,1350
322,Arabica,doi tung development project,Thailand,Asia,unknown,800++,2014,"June 9th, 2015",2015,,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,83.67,0.12,Bluish-Green,"June 8th, 2016",m,800,800,800
323,Arabica,rob stephen,Colombia,SouthA,unknown,1550-1700m,2014/2015,"November 21st, 2014",2014,Caturra,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67,0.11,,"November 21st, 2015",m,1550,1700,1625
324,Arabica,juan luis alvarado romero,Guatemala,CenterA,finca las cuevitas,4451 metros,2014,"February 27th, 2014",2014,Bourbon,Washed / Wet,8,7.5,7.33,8,8,8,9.33,10,10,7.5,83.67,0.1,Green,"February 27th, 2015",ft,1356.6648,1356.6648,1356.6648
325,Arabica,exportadora de cafe condor s.a,Colombia,SouthA,various,1750 msnm,2013,"October 29th, 2013",2013,Caturra,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67,0,Green,"October 29th, 2014",m,1750,1750,1750
326,Arabica,racafe & cia s.c.a,Colombia,SouthA,unknown,1800 - 2000,2013,"August 16th, 2013",2013,Caturra,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,83.67,0,Green,"August 16th, 2014",m,1800,2000,1900
327,Arabica,juan luis alvarado romero,Guatemala,CenterA,la union monte verde,4300,2013,"May 30th, 2013",2013,Bourbon,Washed / Wet,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,83.67,0.12,Green,"May 30th, 2014",ft,1310.64,1310.64,1310.64
